#Datasets	 Sample01	 Sample02	 Sample03	 Sample04
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Capsule and Slime layer;Sulfoquinovose biosynthesis cluster;"	 36	 14	 18	 52
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Cell wall of Mycobacteria;Activation of fatty acids as acyl-adenylates cluster subgroup FadD10;"	 3	 0	 0	 4
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Cell wall of Mycobacteria;Biosynthesis of Arabinogalactan in Mycobacteria;"	 113	 44	 46	 127
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Cell wall of Mycobacteria;Cell wall-associated cluster in Mycobacterium;"	 6	 1	 2	 9
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Cell wall of Mycobacteria;Galactosamine Substituent of Arabinogalactan in Mycobacteria;"	 5	 1	 2	 1
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Cell wall of Mycobacteria;Mycobacterial cell wall virulence lipid phthiocerol dimycocerosate (PDIM);"	 22	 4	 4	 24
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Cell wall of Mycobacteria;Mycolic acid synthesis 2;"	 3	 0	 1	 5
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Cell wall of Mycobacteria;Outer membrane porins in Mycobacteria;"	 2	 0	 0	 0
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Cell wall of Mycobacteria;Phosphatidylinositol mannosides biosynthesis related cluster;"	 159	 94	 136	 189
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Gram-Negative (Diderm) cell wall components;Bacteroides capsular polysaccharide transcription antitermination proteins;"	 1	 0	 1	 0
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Gram-Negative (Diderm) cell wall components;Enterobacterial common antigen (LPS O-antigen);"	 14	 29	 19	 13
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Gram-Negative (Diderm) cell wall components;Gram-negative cluster;"	 39	 41	 51	 53
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Gram-Negative (Diderm) cell wall components;KDO2-Lipid A biosynthesis;"	 2082	 1996	 1800	 1480
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Gram-Negative (Diderm) cell wall components;Lipopolysaccharide-related cluster in Alphaproteobacteria;"	 282	 210	 170	 293
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Gram-Negative (Diderm) cell wall components;Outer membrane;"	 793	 654	 548	 692
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Gram-Negative (Diderm) cell wall components;Outer membrane porins in Pseudomonas and Acinetobacter;"	 125	 34	 31	 89
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Gram-Negative (Diderm) cell wall components;Tol-Pal Cell Envelope Complex;"	 437	 218	 137	 435
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Gram-Negative (Diderm) cell wall components;TonB-ExbBD energy transducing system;"	 19	 4	 3	 47
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Gram-Positive (Monoderm) cell wall components;Anthrose Biosynthesis;"	 0	 0	 1	 1
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Gram-Positive (Monoderm) cell wall components;D-alanylation of teichoic acid;"	 5	 9	 3	 3
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Gram-Positive (Monoderm) cell wall components;Teichuronic acid biosynthesis;"	 1	 0	 2	 0
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Peptidoglycan (Bacteria) or other polymers (Archaea);Undecaprenyl-diphosphatases;"	 233	 343	 344	 203
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;S-layer;dTDP-3-acetamido-3,6-dideoxy-alpha-D-galactose synthesis;"	 20	 54	 50	 15
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;S-layer;Wall polysaccharide pyruvylation;"	 18	 37	 25	 16
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Bacterial cell division related cluster 2;"	 638	 801	 796	 600
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Bacterial checkpoint-control-related cluster;"	 710	 1253	 1329	 602
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Cell division cluster;"	 4217	 5343	 6049	 3633
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Cell division initiation related cluster;"	 4550	 2216	 2153	 4832
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Control of cell elongation - division cycle in Bacilli;"	 4	 3	 0	 2
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;FtsEX cell-division-associated signaling system;"	 480	 577	 629	 479
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Macromolecular synthesis operon;"	 2524	 3420	 3619	 2239
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;MukBEF Chromosome Condensation;"	 0	 3	 1	 1
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Programmed Cell Death and Toxin-antitoxin Systems;A new toxin - antitoxin system;"	 110	 90	 85	 98
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Programmed Cell Death and Toxin-antitoxin Systems;Barnase-barstar complex;"	 3	 8	 11	 7
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Programmed Cell Death and Toxin-antitoxin Systems;MazEF toxin-antitoxing (programmed cell death) system;"	 45	 48	 51	 36
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Programmed Cell Death and Toxin-antitoxin Systems;Murein hydrolase regulation and cell death;"	 71	 29	 27	 66
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Programmed Cell Death and Toxin-antitoxin Systems;Nucleoside triphosphate pyrophosphohydrolase MazG;"	 202	 301	 297	 159
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Programmed Cell Death and Toxin-antitoxin Systems;Phd-Doc, YdcE-YdcD toxin-antitoxin (programmed cell death) systems;"	 322	 394	 413	 301
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Programmed Cell Death and Toxin-antitoxin Systems;Possible new toxin-antitoxin system including DivIC;"	 22	 3	 8	 48
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Programmed Cell Death and Toxin-antitoxin Systems;Programmed cell death toxin-antitoxin PezAT;"	 1	 0	 1	 0
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Programmed Cell Death and Toxin-antitoxin Systems;Toxin-Antitoxin MT1;"	 96	 48	 76	 110
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Programmed Cell Death and Toxin-antitoxin Systems;Toxin-antitoxin replicon stabilization systems;"	 13	 24	 23	 31
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Programmed Cell Death and Toxin-antitoxin Systems;Toxin-Antitoxin system HigAB;"	 596	 563	 572	 563
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Programmed Cell Death and Toxin-antitoxin Systems;YoeB-YefM toxin-antitoxin system;"	 83	 154	 167	 109
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Stationary phase, Dormancy, Persistence;HipAB system implicated in growth arrest, persistence and drug tolerance;"	 14	 11	 11	 7
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Stationary phase, Dormancy, Persistence;Mycobacterial signal transduction system MprAB required for persistent infections;"	 72	 23	 30	 45
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Stationary phase, Dormancy, Persistence;Ribosomal hibernation related cluster;"	 471	 433	 350	 419
"SEED-2021;Cellular Processes;Cell Cycle, Cell Division and Death;Two cell division clusters relating to chromosome partitioning;"	 87	 190	 200	 33
"SEED-2021;Cellular Processes;Microbial communities;Quorum sensing and biofilm formation;Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon);"	 17	 25	 37	 19
"SEED-2021;Cellular Processes;Microbial communities;Quorum sensing and biofilm formation;Biofilm Adhesin Biosynthesis;"	 5	 3	 4	 20
"SEED-2021;Cellular Processes;Microbial communities;Quorum sensing and biofilm formation;Biofilm formation in Staphylococcus;"	 0	 0	 0	 3
"SEED-2021;Cellular Processes;Microbial communities;Quorum sensing and biofilm formation;Quorum sensing in Yersinia;"	 46	 11	 7	 41
"SEED-2021;Cellular Processes;Microbial communities;Quorum sensing and biofilm formation;Quorum-sensing related cluster;"	 1	 0	 1	 0
"SEED-2021;Cellular Processes;Microbial communities;Sex pheromones in Enterococcus faecalis and other Firmicutes;"	 10	 9	 9	 2
"SEED-2021;Cellular Processes;Motility and Chemotaxis;Chemotaxis in Escherichia coli and Bacillus subtilis;"	 2496	 2058	 1428	 2607
"SEED-2021;Cellular Processes;Motility and Chemotaxis;Flagellum;"	 1485	 849	 564	 1583
"SEED-2021;Cellular Processes;Prokaryotic cell type differentiation;Heterocyst development;Heterocyst formation in cyanobacteria;"	 1	 0	 0	 0
"SEED-2021;Cellular Processes;Prokaryotic cell type differentiation;Sporulation;Bacillus cannibalism system;"	 0	 1	 0	 0
"SEED-2021;Cellular Processes;Prokaryotic cell type differentiation;Sporulation;Coat proteins CotJABC;"	 0	 1	 0	 0
"SEED-2021;Cellular Processes;Prokaryotic cell type differentiation;Sporulation;Exosporium;"	 0	 0	 0	 1
"SEED-2021;Cellular Processes;Prokaryotic cell type differentiation;Sporulation;Spore germinant receptors;"	 0	 6	 6	 0
"SEED-2021;Cellular Processes;Prokaryotic cell type differentiation;Sporulation;Spore germination;"	 2	 16	 14	 6
"SEED-2021;Cellular Processes;Prokaryotic cell type differentiation;Sporulation;Sporulation Cluster;"	 26	 114	 123	 18
"SEED-2021;Cellular Processes;Prokaryotic cell type differentiation;Sporulation;Sporulation gene orphans;"	 6	 27	 27	 7
"SEED-2021;Cellular Processes;Prokaryotic cell type differentiation;Sporulation;Sporulation proteins SigEG cluster;"	 8	 33	 34	 7
"SEED-2021;Cellular Processes;Prokaryotic cell type differentiation;Sporulation;Sporulation proteins SpoIIIAA-SpoIIIAH;"	 0	 1	 2	 0
"SEED-2021;Cellular Processes;Prokaryotic cell type differentiation;Sporulation;Sporulation proteins SpoVA cluster;"	 4	 5	 3	 4
"SEED-2021;Cellular Processes;Prokaryotic cell type differentiation;Sporulation;Sporulation-associated proteins with broader functions;"	 57	 102	 115	 39
"SEED-2021;Cellular Processes;Prokaryotic cell type differentiation;Sporulation;SpoVS protein family;"	 5	 6	 10	 3
"SEED-2021;Clustering-based subsystems;Cell Division;Cell division related cluster;"	 907	 914	 871	 692
"SEED-2021;Clustering-based subsystems;Cell Division;Cell division related cluster including coaD;"	 752	 1383	 1330	 704
"SEED-2021;Clustering-based subsystems;Lysine Biosynthesis;Peptidase clustering with DAP;"	 1447	 1690	 1554	 1321
"SEED-2021;Clustering-based subsystems;Possible heterocyst differentiation related cluster;"	 22	 8	 8	 11
"SEED-2021;Clustering-based subsystems;Shikimate kinase SK3 cluster;"	 3	 2	 2	 3
"SEED-2021;Clustering-based subsystems;Threonine synthase cluster;"	 369	 130	 138	 453
"SEED-2021;DNA Processing;DNA recombination;DNA recombination, archaeal;"	 6	 57	 15	 0
"SEED-2021;DNA Processing;DNA recombination;Replication-associated recombination protein RarA;"	 949	 1456	 1606	 843
"SEED-2021;DNA Processing;DNA recombination;RuvABC plus a hypothetical;"	 803	 1102	 1243	 588
"SEED-2021;DNA Processing;DNA repair;2-phosphoglycolate salvage;"	 135	 71	 62	 138
"SEED-2021;DNA Processing;DNA repair;DNA Repair Base Excision;"	 4730	 4027	 4399	 4433
"SEED-2021;DNA Processing;DNA repair;DNA repair system including RecA, MutS and a hypothetical protein;"	 281	 481	 571	 211
"SEED-2021;DNA Processing;DNA repair;DNA repair, bacterial;"	 2892	 3289	 3548	 2748
"SEED-2021;DNA Processing;DNA repair;DNA repair, bacterial DinG and relatives;"	 414	 589	 503	 330
"SEED-2021;DNA Processing;DNA repair;DNA repair, bacterial MutHLS system;"	 1417	 1667	 1559	 1058
"SEED-2021;DNA Processing;DNA repair;DNA repair, bacterial photolyase;"	 189	 141	 207	 155
"SEED-2021;DNA Processing;DNA repair;DNA repair, bacterial RecBCD pathway;"	 691	 650	 644	 686
"SEED-2021;DNA Processing;DNA repair;DNA repair, bacterial RecFOR pathway;"	 1819	 2036	 2228	 1528
"SEED-2021;DNA Processing;DNA repair;DNA repair, bacterial SbcCD exonuclease;"	 246	 472	 490	 279
"SEED-2021;DNA Processing;DNA repair;DNA repair, bacterial UmuCD system;"	 75	 114	 85	 50
"SEED-2021;DNA Processing;DNA repair;DNA repair, bacterial UvrD and related helicases;"	 1480	 2100	 2288	 1311
"SEED-2021;DNA Processing;DNA repair;DNA repair, UvrABC system;"	 2827	 3678	 3913	 2420
"SEED-2021;DNA Processing;DNA repair;Possible DNA repair related cluster;"	 0	 6	 4	 0
"SEED-2021;DNA Processing;DNA repair;Potential DNA repair cluster;"	 32	 67	 81	 22
"SEED-2021;DNA Processing;DNA repair;RecA and RecX;"	 112	 137	 124	 162
"SEED-2021;DNA Processing;DNA replication;DNA Helicase of Unknown Function;"	 58	 74	 35	 37
"SEED-2021;DNA Processing;DNA replication;DNA topoisomerases, Type II, ATP-dependent;"	 1795	 2390	 2525	 1633
"SEED-2021;DNA Processing;DNA replication;Plasmid replication;"	 62	 1	 2	 103
"SEED-2021;DNA Processing;DNA sulfur modification;DNA phosphorothioation-dependent restriction system DptFGH;"	 0	 2	 0	 0
"SEED-2021;DNA Processing;DNA sulfur modification;DNA sulfur modification cluster;"	 32	 36	 33	 32
"SEED-2021;DNA Processing;DNA uptake, competence;DNA internalization-related cluster;"	 432	 570	 583	 385
"SEED-2021;DNA Processing;DNA uptake, competence;DNA processing cluster;"	 703	 785	 788	 632
"SEED-2021;DNA Processing;DNA uptake, competence;Late competence;"	 1	 4	 4	 2
"SEED-2021;DNA Processing;Type I restriction-modification systems;"	 1881	 4972	 5113	 1539
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;2-oxoglutarate dehydrogenase ;"	 189	 101	 83	 125
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;2-ketoacid oxidoreductases disambiguation;"	 695	 1786	 2077	 695
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Anaerobic module of TCA;"	 643	 1344	 1306	 464
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Branched-chain amino acids and alpha-keto acids utilization as energy sources;"	 123	 466	 425	 79
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Butyrate kinase pathway;"	 0	 5	 1	 0
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Citrate lyase;"	 19	 99	 102	 8
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Cyanobacterial bypass in the TCA;"	 351	 213	 182	 410
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Dehydrogenase complexes;"	 288	 302	 460	 315
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Dihydroxyacetone kinases;"	 239	 371	 492	 199
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Entner-Doudoroff Pathway;"	 2214	 1651	 1894	 2048
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Ethylmalonyl-CoA pathway of C2 assimilation;"	 369	 44	 65	 436
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Glycolate, glyoxylate interconversions;"	 1021	 795	 879	 866
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Glycolysis and Gluconeogenesis;"	 2633	 3912	 4210	 2493
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Glycolysis and Gluconeogenesis, including Archaeal enzymes;"	 65	 303	 317	 46
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Glyoxylate bypass;"	 1010	 538	 578	 829
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Methylglyoxal Metabolism;"	 1077	 950	 990	 980
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Particulate methane monooxygenase (pMMO);"	 12	 2	 3	 15
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Pentose phosphate pathway;"	 4919	 5610	 6117	 4599
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Pyruvate Alanine Serine Interconversions;"	 2189	 2101	 2331	 2139
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Pyruvate formate-lyase cluster;"	 2	 14	 6	 1
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Pyruvate formate-lyase cluster with possible role in choline utilization;"	 4	 30	 36	 0
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Pyruvate metabolism I: anaplerotic reactions, PEP;"	 3121	 4708	 5098	 2858
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate;"	 5930	 5520	 5751	 5661
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Pyruvate:ferredoxin oxidoreductase;"	 514	 2133	 2340	 402
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;Soluble methane monooxygenase (sMMO);"	 193	 9	 0	 156
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Central Metabolism;TCA Cycle;"	 4129	 3249	 3414	 4097
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Fermentation;Acetoin, butanediol metabolism;"	 421	 609	 790	 402
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Fermentation;Acetolactate synthase subunits;"	 255	 481	 457	 220
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Fermentation;Fermentations: Lactate;"	 622	 580	 595	 554
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Fermentation;Fermentations: Mixed acid;"	 390	 1857	 2537	 398
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Fermentation;Glycerol fermentation to 1,3-propanediol;"	 0	 2	 3	 1
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Fermentation;Na-driven 2-hydroxyglutarate pathway;"	 0	 1	 2	 0
"SEED-2021;Energy;Energy and Precursor Metabolites Generation;Methanogenesis;Methanogenesis from methylated compounds;"	 0	 65	 68	 1
"SEED-2021;Energy;Photosynthesis;Electron transport and photophosphorylation;Photosystem I;"	 4	 3	 1	 0
"SEED-2021;Energy;Photosynthesis;Electron transport and photophosphorylation;Photosystem II;"	 0	 0	 1	 0
"SEED-2021;Energy;Photosynthesis;Electron transport and photophosphorylation;Photosystem II-type photosynthetic reaction center;"	 19	 0	 5	 10
"SEED-2021;Energy;Photosynthesis;Light-harvesting complexes;Chlorosome;"	 1	 0	 2	 0
"SEED-2021;Energy;Photosynthesis;Proteorhodopsin;"	 21	 8	 23	 45
"SEED-2021;Energy;Respiration;Anaerobic respiratory complex QmoABC;"	 1	 210	 292	 0
"SEED-2021;Energy;Respiration;ATP synthases;F0F1-type ATP synthase;"	 1605	 1811	 2060	 1407
"SEED-2021;Energy;Respiration;ATP synthases;Sodium-transporting ATPase;"	 213	 287	 339	 210
"SEED-2021;Energy;Respiration;ATP synthases;V-Type ATP synthase;"	 12	 685	 652	 5
"SEED-2021;Energy;Respiration;Biogenesis of respiratory chain components;Biogenesis of c-type cytochromes;"	 1682	 2147	 2371	 1594
"SEED-2021;Energy;Respiration;Biogenesis of respiratory chain components;Biogenesis of cbb3-type cytochrome c oxidases;"	 116	 217	 208	 98
"SEED-2021;Energy;Respiration;Biogenesis of respiratory chain components;Biogenesis of cytochrome c oxidases;"	 524	 283	 294	 500
"SEED-2021;Energy;Respiration;Biogenesis of respiratory chain components;Heme O and Heme A biosynthesis;"	 122	 145	 202	 94
"SEED-2021;Energy;Respiration;Biogenesis of respiratory chain components;Heme O and Heme A biosynthesis (with selected terminal oxidases);"	 2553	 1494	 1630	 2757
"SEED-2021;Energy;Respiration;Biogenesis of respiratory chain components;NiFe hydrogenase maturation;"	 788	 1894	 1880	 663
"SEED-2021;Energy;Respiration;Desulfovibrio high-molecular-weight cytochrome cluster;"	 0	 41	 48	 0
"SEED-2021;Energy;Respiration;Electron accepting reactions;Cytochrome bo ubiquinol oxidase ;"	 8	 0	 1	 5
"SEED-2021;Energy;Respiration;Electron accepting reactions;Adenylylsulfate reductase;"	 7	 103	 121	 5
"SEED-2021;Energy;Respiration;Electron accepting reactions;Anaerobic dimethyl sulfoxide reductase (EC 1.8.5.3);"	 74	 379	 268	 40
"SEED-2021;Energy;Respiration;Electron accepting reactions;Cytochrome c oxidase EC 1.9.3.1;"	 37	 33	 39	 33
"SEED-2021;Energy;Respiration;Electron accepting reactions;Cytochrome d ubiquinol oxidase operon;"	 120	 191	 203	 88
"SEED-2021;Energy;Respiration;Electron accepting reactions;Perchlorate reduction;"	 1	 3	 3	 1
"SEED-2021;Energy;Respiration;Electron accepting reactions;Periplasmic nitrate reductase EC 1.7.99.4;"	 18	 2	 4	 18
"SEED-2021;Energy;Respiration;Electron accepting reactions;Reductive Dechlorination;"	 0	 9	 3	 0
"SEED-2021;Energy;Respiration;Electron accepting reactions;Tetrathionate respiration;"	 4	 115	 92	 0
"SEED-2021;Energy;Respiration;Electron accepting reactions;Trimethylamine-N-oxide operon;"	 9	 3	 7	 23
"SEED-2021;Energy;Respiration;Electron donating reactions;Anaerobic glycerol-3-phosphate dehydrogenase subunits;"	 37	 120	 223	 14
"SEED-2021;Energy;Respiration;Electron donating reactions;Coenzyme F420 hydrogenase;"	 0	 56	 25	 0
"SEED-2021;Energy;Respiration;Electron donating reactions;Coenzyme F420-H2 dehydrogenase (methanophenazine);"	 0	 38	 10	 0
"SEED-2021;Energy;Respiration;Electron donating reactions;Dimethylsulfide dehydrogenase;"	 0	 2	 0	 0
"SEED-2021;Energy;Respiration;Electron donating reactions;Energy-conserving hydrogenase (ferredoxin);"	 0	 115	 75	 0
"SEED-2021;Energy;Respiration;Electron donating reactions;Formate dehydrogenase;"	 147	 276	 166	 162
"SEED-2021;Energy;Respiration;Electron donating reactions;H2:CoM-S-S-HTP oxidoreductase;"	 0	 37	 37	 0
"SEED-2021;Energy;Respiration;Electron donating reactions;NADH ubiquinone oxidoreductase;"	 23	 85	 89	 21
"SEED-2021;Energy;Respiration;Electron donating reactions;NADH ubiquinone oxidoreductase vs. multi-subunit cation antiporter;"	 64	 179	 174	 154
"SEED-2021;Energy;Respiration;Electron donating reactions;Respiratory Complex I;"	 4634	 6440	 6646	 3840
"SEED-2021;Energy;Respiration;Electron donating reactions;Succinate dehydrogenase and Fumarate reductase cpmlexes;"	 681	 938	 1116	 496
"SEED-2021;Energy;Respiration;Electron-bifurcating caffeyl-CoA reductase-Etf complex;"	 0	 3	 7	 0
"SEED-2021;Energy;Respiration;Hydrogenases;Archaeal membrane bound hydrogenases;"	 0	 11	 6	 0
"SEED-2021;Energy;Respiration;Hydrogenases;Carbon monoxide induced hydrogenase;"	 2	 831	 893	 0
"SEED-2021;Energy;Respiration;Hydrogenases;Hydrogen-sensing hydrogenase system;"	 38	 62	 43	 25
"SEED-2021;Energy;Respiration;Hydrogenases;Mebrane bound hydrogenases;"	 0	 23	 11	 1
"SEED-2021;Energy;Respiration;Hydrogenases;Membrane bound hydrogenase Mbh;"	 0	 2	 1	 0
"SEED-2021;Energy;Respiration;Hydrogenases;Membrane bound hydrogenase Mbh -- gjo;"	 0	 3	 1	 0
"SEED-2021;Energy;Respiration;Hydrogenases;Methanophenazine hydrogenase;"	 0	 3	 3	 0
"SEED-2021;Energy;Respiration;Hydrogenases;NAD-reducing [NiFe] hydrogenase HoxFUYH(E);"	 108	 651	 589	 65
"SEED-2021;Energy;Respiration;Hydrogenases;NADP-reducing [FeFe]-hydrogenase;"	 0	 18	 10	 0
"SEED-2021;Energy;Respiration;Hydrogenases;Sulfhydrogenase;"	 72	 786	 867	 27
"SEED-2021;Energy;Respiration;Plastidial (cyanobacterial) electron transport system;Cytochrome b6-f complex in plants (plastidial) and cyanobacteria;"	 3	 10	 19	 1
"SEED-2021;Energy;Respiration;Plastidial (cyanobacterial) electron transport system;Respiratory complex I in plants (plastidial) and cyanobacteria;"	 2	 4	 2	 0
"SEED-2021;Energy;Respiration;Quinone oxidoreductase family;"	 1362	 429	 490	 1484
"SEED-2021;Energy;Respiration;Respiratory Systems - Shewanella (updated);"	 0	 1	 3	 0
"SEED-2021;Energy;Respiration;Sodium Ion-Coupled Energetics;Na-translocating NADH-quinone oxidoreductase;"	 22	 31	 43	 34
"SEED-2021;Energy;Respiration;Tmc complex;"	 0	 2	 12	 0
"SEED-2021;Experimental Subsystems;CRISPR proteins;"	 440	 707	 707	 341
"SEED-2021;Membrane Transport;ABC transporters;ABC transporter of unknown substrate X;"	 0	 1	 0	 1
"SEED-2021;Membrane Transport;ABC transporters;ABC transporter tungstate (TC 3.A.1.6.2);"	 74	 482	 537	 70
"SEED-2021;Membrane Transport;ABC transporters;ABC transporter YeiABEF;"	 2	 6	 3	 7
"SEED-2021;Membrane Transport;ABC transporters;ABC transporter YxeMNO;"	 3	 3	 7	 7
"SEED-2021;Membrane Transport;ABC transporters;alpha-glucoside ABC transporter;"	 27	 210	 292	 37
